<span class="LineNumber"> 001 </span>		      ๕. อัตถกามวรรค  
<span class="LineNumber"> 002 </span>		       ๑. โลสกชาดก    
<span class="LineNumber"> 003 </span>		  ว่าด้วยคนที่ต้องเศร้าโศก            
<span class="LineNumber"> 004 </span>  	[๔๑] ผู้ใดบุคคลกล่าวสอนอยู่ ไม่ทำตามคำสอนของผู้ปรารถนาประโยชน์    
<span class="LineNumber"> 005 </span>           ผู้อนุเคราะห์ด้วยประโยชน์เกื้อกูล ผู้นั้นย่อมเศร้าโศก เหมือนนาย
<span class="LineNumber"> 006 </span>           มิตกะจับเท้าแพะเศร้าโศกอยู่ ฉะนั้น.          
<span class="LineNumber"> 007 </span>		     จบ โลสกชาดกที่ ๑.
<span class="LineNumber"> 008 </span>		       ๒. กโปตกชาดก   
<span class="LineNumber"> 009 </span>		     ว่าด้วยคนที่ต้องฉิบหาย           
<span class="LineNumber"> 010 </span>  	[๔๒] ผู้ใดบุคคลกล่าวสอนอยู่ ไม่ทำตามคำสอนของผู้ปรารถนาประโยชน์ ผู้
<span class="LineNumber"> 011 </span>           อนุเคราะห์ด้วยประโยชน์เกื้อกูล ผู้นั้นย่อมถึงความฉิบหาย เศร้าโศกอยู่         
<span class="LineNumber"> 012 </span>           เหมือนกาไม่เชื่อฟังคำของนกพิราบ ตกอยู่ในเงื้อมมือของข้าศึก ฉะนั้น.           
<span class="LineNumber"> 013 </span>		     จบ กโปตกชาดกที่ ๒. 
<span class="LineNumber"> 014 </span>		       ๓. เวฬุกชาดก   
<span class="LineNumber"> 015 </span>		      ว่าด้วยคนที่นอนตาย
<span class="LineNumber"> 016 </span>  	[๔๓] ผู้ใดบุคคลกล่าวสอนอยู่ ไม่ทำตามคำสอนของผู้ปรารถนาประโยชน์    
<span class="LineNumber"> 017 </span>           ผู้อนุเคราะห์ด้วยประโยชน์เกื้อกูล ผู้นั้นย่อมนอนตายอยู่ เหมือนดาบส           
<span class="LineNumber"> 018 </span>           ผู้เป็นบิดาของลูกงูชื่อเวฬุกะ ฉะนั้น.        
<span class="LineNumber"> 019 </span>		     จบ เวฬุกชาดกที่ ๓. 
