<span class="LineNumber"> 001 </span>                        ปิลินทวรรคที่ ๔๐                
<span class="LineNumber"> 002 </span>                  ปิลินทวัจฉเถราปทานที่ ๑ (๓๙๑)         
<span class="LineNumber"> 003 </span>              ว่าด้วยผลแห่งการถวายไทยธรรมอันสมควร       
<span class="LineNumber"> 004 </span>     [๓๙๓] เราเป็นนายประตูอยู่ที่นครหงสวดี เรารวบรวมโภคสมบัติเก็บไว้ใน                 
<span class="LineNumber"> 005 </span>           เรือนมากมายนับไม่ถ้วน ในกาลนั้น เราอยู่ในที่ลับ ทำใจให้รื่นเริง นั่ง        
<span class="LineNumber"> 006 </span>           อยู่ในปราสาทอันประเสริฐแล้ว ได้คิดอย่างนี้ว่า โภคสมบัติของเรามีมาก          
<span class="LineNumber"> 007 </span>           มากแพร่หลายไปภายในบุรี แม้พระราชาผู้เป็นใหญ่ในแผ่นดินพระนามว่า              
<span class="LineNumber"> 008 </span>           อานนท์ ก็ทรงเชื้อเชิญเรา พระพุทธเจ้าพระองค์นี้ เป็นมุนี เสด็จ               
<span class="LineNumber"> 009 </span>           อุบัติขึ้นแล้วในโลกนี้ และโภคสมบัติของเราก็มีอยู่ เราจักถวายทานแก่          
<span class="LineNumber"> 010 </span>           พระศาสดา พระราชบุตรพระนามว่าปทุม ทรงถวายทานอันประเสริฐ  
<span class="LineNumber"> 011 </span>           คือ ช้างตัวประเสริฐ บัลลังก์และพนักพิง มีประมาณไม่น้อย ใน  
<span class="LineNumber"> 012 </span>           พระชินเจ้า แม้เราก็จักถวายทานในสงฆ์อันเป็นหมู่คณะที่ประเสริฐสุด             
<span class="LineNumber"> 013 </span>           ทานอันประเสริฐที่ใครยังไม่เคยถวาย เราจักเป็นคนแรกในทานนั้น เรา              
<span class="LineNumber"> 014 </span>           คิดที่จะถวายทานหลายวิธี สุขเป็นผลเพราะการบูชาทานใด จึงได้เห็นการ            
<span class="LineNumber"> 015 </span>           ถวายบริขาร อันจะเป็นเครื่องทำความดำริของเราให้เต็ม เราจักถวาย               
<span class="LineNumber"> 016 </span>           บริขาร ในสงฆ์อันเป็นหมู่คณะที่ประเสริฐสุด การถวายบริขารคนอื่น               
<span class="LineNumber"> 017 </span>           ยังไม่เคยถวาย เราจักเป็นคนแรก ในขณะนั้น เราจึงเข้าไปหาช่างจัก               
<span class="LineNumber"> 018 </span>           สาน จ้างให้ทำฉัตร ได้รวบรวมฉัตรไว้หนึ่งแสนคัน ได้รวบรวมผ้าไว้               
<span class="LineNumber"> 019 </span>           หนึ่งแสนผืน จ้างช่างให้ทำมีด (โกน) พร้า เข็ม และมีดสำหรับตัด                
<span class="LineNumber"> 020 </span>           เล็บ อันสมควร แล้วให้วางไว้ภายใต้ฉัตรทั้งหลาย จ้างช่างให้ทำพัด              
<span class="LineNumber"> 021 </span>           ใบตาล พัดขนปีกนกยูง พัดจามร ผ้ากรองน้ำ และภาชนะน้ำมัน อัน  
<span class="LineNumber"> 022 </span>           สมควร จ้างช่างให้ทำกล่องเข็ม ผ้าอังสะ ประคตเอวและเชิงรองบาตร                
<span class="LineNumber"> 023 </span>           ที่ทำอย่างสวยงาม อันสมควร ให้เอาเภสัชใส่ในภาชนะสำหรับใส่ของ                 
<span class="LineNumber"> 024 </span>           บริโภคและในขันสำริดให้เต็มแล้ว ให้วางไว้ภายใต้ฉัตร ให้ใส่ว่านน้ำ            
<span class="LineNumber"> 025 </span>           หญ้าคา ชะเอม ดีปลี พริก ผลสมอ และขิงสด ให้เต็มในภาชนะ  
